--- DEVICE FORENSICS LOG ---
MAC,E2:9D:6E:15:46:74
IP,192.168.10.241
Exported At,2026-05-03T23:53:51.891222

--- DNS QUERY HISTORY ---
Timestamp,Domain,Type
2026-05-03 20:43:35,connectivitycheck.gstatic.com,A
2026-05-03 20:43:35,www.google.com,A
2026-05-03 20:43:35,connectivitycheck.gstatic.com,A
2026-05-03 20:43:35,www.google.com,A
2026-05-03 20:43:33,z-m-gateway.facebook.com,A
2026-05-03 20:43:33,z-m-gateway.facebook.com,A
2026-05-03 20:43:32,www.gstatic.com.tariq-domain,A
2026-05-03 20:43:32,z-m-gateway.facebook.com.tariq-domain,A
2026-05-03 20:43:32,www.gstatic.com.tariq-domain,A
2026-05-03 20:43:32,z-m-gateway.facebook.com.tariq-domain,A
2026-05-03 20:43:31,content-autofill.googleapis.com.tariq-domain,A
2026-05-03 20:43:30,clients4.google.com,A
2026-05-03 20:43:30,clients4.google.com,A
2026-05-03 20:43:30,z-m-gateway.facebook.com,A
2026-05-03 20:43:30,z-m-gateway.facebook.com,A
2026-05-03 20:43:29,www.gstatic.com,A
2026-05-03 20:43:29,www.gstatic.com,A
2026-05-03 20:43:29,www.gstatic.com,A
2026-05-03 20:43:29,www.gstatic.com,A
2026-05-03 20:43:29,z-m-gateway.facebook.com,A
2026-05-03 20:43:29,z-m-gateway.facebook.com.tariq-domain,A
2026-05-03 20:43:29,z-m-gateway.facebook.com,A
2026-05-03 20:43:29,z-m-gateway.facebook.com.tariq-domain,A
2026-05-03 20:43:28,content-autofill.googleapis.com.tariq-domain,A
2026-05-03 20:43:28,content-autofill.googleapis.com.tariq-domain,A
2026-05-03 20:43:28,content-autofill.googleapis.com,A
2026-05-03 20:43:28,content-autofill.googleapis.com,A
2026-05-03 20:43:27,clients4.google.com.tariq-domain,A
2026-05-03 20:43:27,clients4.google.com,A
2026-05-03 20:43:27,clients4.google.com.tariq-domain,A
2026-05-03 20:43:27,clients4.google.com,A
2026-05-03 20:43:26,content-autofill.googleapis.com,A
2026-05-03 20:43:26,content-autofill.googleapis.com,A
2026-05-03 20:43:26,www.gstatic.com,A
2026-05-03 20:43:26,www.gstatic.com,A
2026-05-03 20:43:26,z-m-gateway.facebook.com,A
2026-05-03 20:43:26,z-m-gateway.facebook.com.tariq-domain,A
2026-05-03 20:43:26,z-m-gateway.facebook.com,A
2026-05-03 20:43:26,z-m-gateway.facebook.com.tariq-domain,A
2026-05-03 20:43:26,content-autofill.googleapis.com,A
2026-05-03 20:43:26,content-autofill.googleapis.com,A
2026-05-03 20:43:26,content-autofill.googleapis.com,A
2026-05-03 20:43:26,content-autofill.googleapis.com,A
2026-05-03 20:43:25,content-autofill.googleapis.com.tariq-domain,A
2026-05-03 20:43:25,content-autofill.googleapis.com,A
2026-05-03 20:43:25,content-autofill.googleapis.com,A
2026-05-03 20:43:25,clients4.google.com,A
2026-05-03 20:43:25,clients4.google.com,A
2026-05-03 20:43:25,content-autofill.googleapis.com,A
2026-05-03 20:43:25,content-autofill.googleapis.com,A
2026-05-03 20:43:25,content-autofill.googleapis.com,A
2026-05-03 20:43:25,content-autofill.googleapis.com,A
2026-05-03 20:43:24,clients4.google.com.tariq-domain,A
2026-05-03 20:43:24,clients4.google.com,A
2026-05-03 20:43:24,clients4.google.com.tariq-domain,A
2026-05-03 20:43:24,clients4.google.com,A
2026-05-03 20:43:24,clients4.google.com,A
2026-05-03 20:43:24,www.google.com.tariq-domain,A
2026-05-03 20:43:24,connectivitycheck.gstatic.com.tariq-domain,A
2026-05-03 20:43:24,optimizationguide-pa.googleapis.com.tariq-domain,A
2026-05-03 20:43:23,z-m-gateway.facebook.com,A
2026-05-03 20:43:23,z-m-gateway.facebook.com,A
2026-05-03 20:43:22,content-autofill.googleapis.com.tariq-domain,A
2026-05-03 20:43:22,content-autofill.googleapis.com.tariq-domain,A
2026-05-03 20:43:21,clients4.google.com.tariq-domain,A
2026-05-03 20:43:21,clients4.google.com,A
2026-05-03 20:43:21,clients4.google.com.tariq-domain,A
2026-05-03 20:43:21,clients4.google.com,A
2026-05-03 20:43:21,play.googleapis.com.tariq-domain,A
2026-05-03 20:43:21,connectivitycheck.gstatic.com.tariq-domain,A
2026-05-03 20:43:21,www.google.com.tariq-domain,A
2026-05-03 20:43:21,optimizationguide-pa.googleapis.com.tariq-domain,A
2026-05-03 20:43:19,z-m-gateway.facebook.com.tariq-domain,A
2026-05-03 20:43:19,content-autofill.googleapis.com,A
2026-05-03 20:43:19,z-m-gateway.facebook.com.tariq-domain,A
2026-05-03 20:43:19,content-autofill.googleapis.com,A
2026-05-03 20:43:19,content-autofill.googleapis.com.tariq-domain,A
2026-05-03 20:43:19,content-autofill.googleapis.com,A
2026-05-03 20:43:18,clients4.google.com,A
2026-05-03 20:43:18,clients4.google.com,A
2026-05-03 20:43:18,clients4.google.com.tariq-domain,A
2026-05-03 20:43:18,play.googleapis.com.tariq-domain,A
2026-05-03 20:43:18,play.googleapis.com.tariq-domain,A
2026-05-03 20:43:18,www.google.com,A
2026-05-03 20:43:18,connectivitycheck.gstatic.com,A
2026-05-03 20:43:18,optimizationguide-pa.googleapis.com.tariq-domain,A
2026-05-03 20:43:18,optimizationguide-pa.googleapis.com.tariq-domain,A
2026-05-03 20:43:18,optimizationguide-pa.googleapis.com,A
2026-05-03 20:43:16,z-m-gateway.facebook.com.tariq-domain,A
2026-05-03 20:43:16,z-m-gateway.facebook.com.tariq-domain,A
2026-05-03 20:43:16,content-autofill.googleapis.com.tariq-domain,A
2026-05-03 20:43:16,content-autofill.googleapis.com.tariq-domain,A
2026-05-03 20:43:16,content-autofill.googleapis.com.tariq-domain,A
2026-05-03 20:43:16,content-autofill.googleapis.com.tariq-domain,A
2026-05-03 20:43:16,content-autofill.googleapis.com,A
2026-05-03 20:43:16,content-autofill.googleapis.com,A
2026-05-03 20:43:16,content-autofill.googleapis.com.tariq-domain,A
2026-05-03 20:43:16,content-autofill.googleapis.com,A
2026-05-03 20:43:16,content-autofill.googleapis.com,A
2026-05-03 20:43:16,content-autofill.googleapis.com.tariq-domain,A
2026-05-03 20:43:16,_googlecast._tcp.local,A
2026-05-03 20:43:16,_googlecast._tcp.local,A
2026-05-03 20:43:15,clients4.google.com,A
2026-05-03 20:43:15,clients4.google.com,A
2026-05-03 20:43:15,play.googleapis.com,A
2026-05-03 20:43:15,play.googleapis.com,A
2026-05-03 20:43:15,www.google.com,A
2026-05-03 20:43:15,connectivitycheck.gstatic.com,A
2026-05-03 20:43:15,www.google.com,A
2026-05-03 20:43:15,connectivitycheck.gstatic.com,A
2026-05-03 20:43:15,optimizationguide-pa.googleapis.com,A
2026-05-03 20:43:15,optimizationguide-pa.googleapis.com.tariq-domain,A
2026-05-03 20:43:13,z-m-gateway.facebook.com,A
2026-05-03 20:43:13,content-autofill.googleapis.com.tariq-domain,A
2026-05-03 20:43:13,content-autofill.googleapis.com.tariq-domain,A
2026-05-03 20:43:13,content-autofill.googleapis.com,A
2026-05-03 20:43:13,content-autofill.googleapis.com.tariq-domain,A
2026-05-03 20:43:13,content-autofill.googleapis.com.tariq-domain,A
2026-05-03 20:43:13,content-autofill.googleapis.com,A
2026-05-03 20:43:12,clients4.google.com,A
2026-05-03 20:43:12,clients4.google.com,A
2026-05-03 20:43:12,play.googleapis.com,A
2026-05-03 20:43:12,play.googleapis.com,A
2026-05-03 20:43:12,connectivitycheck.gstatic.com,A
2026-05-03 20:43:12,www.google.com,A
2026-05-03 20:43:12,optimizationguide-pa.googleapis.com,A
2026-05-03 20:43:12,optimizationguide-pa.googleapis.com,A
2026-05-03 20:43:10,z-m-gateway.facebook.com,A
2026-05-03 20:43:10,z-m-gateway.facebook.com,A
2026-05-03 20:43:10,content-autofill.googleapis.com.tariq-domain,A
2026-05-03 20:43:10,content-autofill.googleapis.com.tariq-domain,A
2026-05-03 20:43:10,content-autofill.googleapis.com,A
2026-05-03 20:43:10,clients4.google.com,A
2026-05-03 20:43:10,clients4.google.com,A
2026-05-03 20:43:10,clients4.google.com,A
2026-05-03 20:43:10,clients4.google.com,A
2026-05-03 20:43:09,clients4.google.com,A
2026-05-03 20:43:09,clients4.google.com,A
2026-05-03 20:43:09,connectivitycheck.gstatic.com,A
